,Unnamed: 0,French,English
0,0,partie,part
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,arrivé,come
19,20,devrait,should
20,21,longtemps,long time
21,22,heures,hours
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,26,aucune,any
26,27,place,square
27,28,parle,speak
28,29,compris,understood
29,30,savais,knew
30,32,attention,Warning
31,33,voici,here is
32,34,pourrais,could
33,35,affaire,case
34,36,donner,give
35,37,type,type
36,38,leurs,their
37,39,donné,given
38,40,train,train
39,41,corps,body
40,42,endroit,place
41,43,yeux,eyes
42,44,façon,way
43,45,écoute,listen
44,46,dont,whose
45,47,trouve,find
46,48,premier,first
47,49,perdu,lost
48,50,main,hand
49,51,première,first
50,52,côté,side
51,53,pouvoir,power
52,54,vieux,old
53,55,sois,be
54,56,tiens,here
55,57,matin,morning
56,58,tellement,so much
57,59,enfant,child
58,60,point,point
59,61,venu,came
60,62,suite,after
61,63,pardon,sorry
62,64,venez,come
63,65,devant,in front of
64,66,vers,towards
65,67,minutes,minutes
66,68,demandé,request
67,69,chambre,bedroom
68,70,mis,placed
69,71,belle,beautiful
70,72,droit,law
71,73,aimerais,would like to
72,74,aujourd'hui,today
73,75,mari,husband
74,76,cause,cause
75,77,enfin,finally
76,78,espère,hope
77,79,eau,water
78,80,attendez,Wait
79,81,parti,left
80,82,nouvelle,new
81,83,boulot,job
82,84,arrêter,Stop
83,85,dirait,would say
84,86,terre,Earth
85,87,compte,account
86,88,donne,given
87,89,loin,far
88,90,fin,end
89,91,chérie,sweetheart
90,92,gros,large
91,93,plutôt,rather
92,94,aura,will have
93,95,filles,girls
94,96,jouer,to play
95,97,bureau,office
